arabizi,arabic_harakat,arabic_stripped
3aadme 2ahli,عَادمة أهلي,عادمة أهلي
qaabir 2ahlo,قَابر أهله,قابر أهله
7ammal 2ahli jmiile,حمَّل أهلي جميلة,حمل أهلي جميلة
zall 2ahli,ذَلّ أهلي,ذل أهلي
2ahhal,أَهَّل,أهل
y2ahhil,يأَهِّل,يأهل
2ahhil,أَهِّل,أهل
y2ahhil wiysahhil,يأهِّل ويسهِّل,يأهل ويسهل
2ahlan,أَهْلاً,أهلا
2ahlan wa sahlan,أَهْلاً وسَهْلاً,أهلا وسهلا
hala,هَلَا,هلا
t2ahhal,تْأَهَّل,تأهل
yit2ahhal,يِتْأَهَّل,يتأهل
2it2ahhal,اِتْأَهَّل,اتأهل
2ahliyye,أَهْلِيِّة,أهلية
2ahliyye bim7aliyye,أَهْلِيِّة بْمَحَلِّيِّة,أهلية بمحلية
2aw,أَوْ,أو
2awaa3i,أَوَاعِي,أواعي
dubit b2awaa3iyyi,ذُبِت بأَوَاعِيِّي,ذبت بأواعيي
2ubba,أُوبَّا,أوبا
2ubba,أُوبَّا,أوبا
2ubba 2izzeed,أُوبَّا الزيد,أوبا الزيد
2awwit,أَوِّت,أوت
y2awwit,يْأوِّت,يأوت
2awwat,أَوَّت,أوت
2ootel,أَوتَيل,أوتيل
2ooda,أَوضَة,أوضة
2uwad,أُوَض,أوض
2ookee,أَوكَي,أوكي
2aale,آلِة,آلة
2awwalaani,أَوَّلَانِي,أولاني
2awaa2il,أَوَائِل,أوائل
2awwal,أَوَّل,أول
2il2awwal wittaali,الأَوَّل والتَّالِي,الأول والتالي
2aah,آَه,آه
ta2awwuh,تَأَوُّه,تأوه
2it2awwah,اِتْأَوَّه,اتأوه
yit2awwah,يِتْأَوَّه,يتأوه
t2awwah,تْأَوَّه,تأوه
m2aawaat,مْآوَاة,مآواة
2iiwaa2,إِيوَاء,إيواء
ma2wa,مَأْوَى,مأوى
ma2aawi,مَآوِي,مآوي
ma2wa 2il3ajaze,مَأْوَى العَجَزِة,مأوى العجزة
2i2wi,إِئْوِي,إئوي
2aawi,آوي,آوي
yi2wi,يأوِي,يأوي
y2aawi,يآوِي,يآوي
2awa,أَوَى,أوى
2aawa,آوَى,آوى
m2ayyid,مْؤيِّد,مؤيد
ta2yiid,تَأْيِيد,تأييد
2ayyid,أَيِّد,أيد
y2ayyid,يؤيِّد,يؤيد
2ayyad,أَيَّد,أيد
2iir,إِير,إير
2ayaas,آيَاس,آياس
qata3 2il2ayaas,آيَاس,آياس
2aayis,آيِس,آيس
y2aayis,يْآيِس,يآيس
2aayas,آيَس,آيس
2eesh,أَيش,أيش
qaayillo b2eesh,قَايله بإِيش,قايله بإيش
2ish ma3na,إِيش مَعْنَى,إيش معنى
qaddeesh,قَدَّيش,قديش
2ayluun,أَيْلُوُن,أيلون
2ayluul,أَيْلُول,أيلول
2ayluul deelo mabluul,أَيْلُول ذَيلُه مَبْلُول,أيلول ذيله مبلول
ween,وَين,وين
ween,وَين,وين
2aywa,أَيْوَا,أيوا
2aywan,أَيْواً,أيوا
2ee,أَي,أي
2ayy,أَيّ,أي
2ayy,أَيّ,أي
2aaye,آيِة,آية
2aaye min 2aayaat 2iljamaal,آيِة من آيات الجَمَال,آية من آيات الجمال
bi,بِ,ب
bu2ra,بُؤْرَة,بؤرة
biir,بِير,بير
2abyaar,أَبْيَار,أبيار
byaara,بْيَارَة,بيارة
bu2ar,بُؤَر,بؤر
2aabaar,آبَار,آبار
biir habi3,بِير هَبِع,بير هبع
sirrak bibiir,سِرَّك بِبِير,سرك ببير
majnuun rama 7ajar bilbiir biddo miit 3aaqil ytal3o,مَجْنُون رَمَى حَجَر بَِالبِِير بِدُّه مِيِّة عَاقِل يطَلْعُه,مجنون رمى حجر بالبير بده مية عاقل يطلعه
7ummarat 2ilbiir,حُمَّرَة البِير,حمرة البير
baas,بَاص,باص
baale,بَالِة,بالة
baale,بَالِة,بالة
baal,بَال,بال
3amaar bihadaatil baal,عمَار بهدَاة البَال,عمار بهداة البال
faadi 2ilbaal,فَاضي البَال,فاضي البال
baalak,بَالك,بالك
babuuj,بَابُوج,بابوج
bawaabiij,بَوَابِيج,بوابيج
baabuur,بَابُور,بابور
babboor,بَابَّور,بابور
bawaabiir,بَوَابِير,بوابير
baabuur 2izzeet,بَابُور الزَّيت,بابور الزيت
bawaabiiri,بَوَابِيرِي,بوابيري
babyoone,بَبْيَونِة,ببيونة
batte,بَتِّة,بتة
batt,بَتّ,بت
qati3 bat,قطع بَتّ,قطع بت
batte wurakke,بَتِّة ورَكِّة,بتة وركة
bitt,بِتّ,بت
ybitt,يْبِتّ,يبت
batt,بَتّ,بت
mabtuur,مَبْتُور,مبتور
2ubtur,اِبْتُر,ابتر
yubtur,يُبْتُر,يبتر
batar,بَتَر,بتر
batir,بَتِر,بتر
batriina,بَاتْرِينا,باترينا
biji7,بِجِح,بجح
bajaa7a,بَجَاحَة,بجاحة
2itbajja7,اِتْبَجَّح,اتبجح
yitbajja7,يِتْبَجَّح,يتبجح
tbajja7,تْبَجَّح,تبجح
badjra,بَحْرَا,بحرا
2ibdjar,اِبْجَر,ابجر
mbadjdjir,مْبَجِّر,مبجر
mboodjir,مْبَوجِر,مبوجر
2abdjar,أَبْجَر,أبجر
budjur,بُجُر,بجر
2itbadjdjaqk,اِتْبَجَّق,اتبجق
yitbadjdjaqk,يِتْبَجَّق,يتبجق
tbadjdjaqk,تْبَجَّق,تبجق
mabjuul,مَبْجُول,مبجول
2inbijil,اِنْبِجِل,انبجل
yinbijil,يِنْبِجِل,ينبجل
2inbajal,اِنْبَجَل,انبجل
bajam,بَجَم,بجم
bidjwir,بِجْوِر,بجور
ba7bathoone,بَحْبَثَونِة,بحبثونة
mba7ba7,مْبَحْبَح,مبحبح
ba7buu7,بَحْبُوح,بحبوح
ba7bi7,بَحْبِح,بحبح
2itba7ba7,اِتْبَحْبَح,اتبحبح
yba7bi7,يْبَحْبِح,يبحبح
yitba7ba7,يِتْبَحْبَح,يتبحبح
ba7ba7,بَحْبَح,بحبح
tba7ba7,تْبَحْبَح,تبحبح
yba7bish,يبَحْبِش,يبحبش
ba7bish,بَحْبِش,بحبش
ba7bash,بَحْبَش,بحبش
ba7bis,بَحْبِص,بحبص
yba7bis,يبَحْبِص,يبحبص
ba7bas,بَحْبَص,بحبص
ba7te,بَحْتِة,بحتة
ba7tiyye,بَحْتِيِّة,بحتية
ba7tiyye,بَحْتِيِّة,بحتية
ba7t,بَحْت,بحت
2inba7at fard ba7te,اِنْبَحَت فَرْد بَحْتِة,انبحت فرد بحتة
2inbi7it,اِنْبِحِت,انبحت
yinbi7it,يِنْبِحِت,ينبحت
2inba7at,اِنْبَحَت,انبحت
ba7is,بَحِث,بحث
2ab7aas,أَبْحَاث,أبحاث
bu7uus,بُحُوث,بحوث
baa7is,بَاحِث,باحث
2ib7as,اِبْحَث,ابحث
yib7as,يِبْحَث,يبحث
ba7as,بَحَث,بحث
2itbaa7as,اِتْبَاحَث,اتباحث
yitbaa7as,يِتْبَاحَث,يتباحث
tbaa7as,تْبَاحَث,تباحث
ba77a,بَحَّة,بحة
mab7uu7,مَبْحُوح,مبحوح
ba77,بَحّ,بح
bi77,بِحّ,بح
2inba77,اِنْبَحّ,انبح
yinba77,يِنْبَحّ,ينبح
ybi77,يبِحّ,يبح
ba77,بَحّ,بح
2inba77,اِنْبَحّ,انبح
mba77ir,مْبَحِّر,مبحر
ba7ra,بَحْرَة,بحرة
tab7iira,تَبْحِيرَة,تبحيرة
ba7ar,بَحَر,بحر
ba7ir,بَحِر,بحر
ba7ar,بَحَر,بحر
bi7aar,بِحَار,بحار
bu7uur,بُحُور,بحور
ba7ri,بَحْرِي,بحري
ba7riyye,بَحْرِيِّة,بحرية
2illi laqq 2ilba7ar biluqq 2ilbu7ayra,اللي لَق البَحَر بيلُق البُحَيرَة,اللي لق البحر بيلق البحيرة
btaakhdak 3alba7ar wubitraj3ak 3atshaan,بتَاخْذَك عَالبَحَر وبِتْرَجْعَك عَطْشَان,بتاخذك عالبحر وبترجعك عطشان
byi3mil min 2ilba7ar maqkaathi,بيِعْمَل من البَحَر مَقَاثِي,بيعمل من البحر مقاثي
2in kaan 2ilba7ar miqthaaye bitsiir 2ilkinne t7ibb 2il7amaaye,اِن كَان البَحَر مِقْثَايِة بِتْصِير الكِنِّة تحِبّ الحَمَايِة,ان كان البحر مقثاية بتصير الكنة تحب الحماية
2itba77ar,اِتْبَحَّر,اتبحر
yitba77ar,يِتْبَحَّر,يتبحر
tba77ar,تْبَحَّر,تبحر
2ab7ar,أَبْحَر,أبحر
2ib7ir,اِبْحِر,ابحر
yib7ir,يِبْحِر,يبحر
ba77ir,بَحِّر,بحر
yba77ir,يبَحِّر,يبحر
ba77ar,بَحَّر,بحر
ba7aze,بَحَزِة,بحزة
2ib7az,اِبْحَز,ابحز
ba77iz,بَحِّز,بحز
yib7az,يِبْحَز,يبحز
yba77iz,يبَحِّز,يبحز
ba7az,بَحَز,بحز
ba77az,بَحَّز,بحز
ba7ish,بَحِش,بحش
2inbi7ish,اِنْبِحِش,انبحش
yinbi7ish,يِنْبِحِش,ينبحش
2inba7ash,اِنْبَحَش,انبحش
ba7ash 3ashruush,بحش عَالشروش,بحش عالشروش
2ib7ash,اِبْحَش,ابحش
yib7ash,يِبْحَش,يبحش
ba7ash,بَحَش,بحش
mbaa7ase,مْبَاحَصِة,مباحصة
mbaa7asa,مْبَاحَصَة,مباحصة
baa7is,بَاحِص,باحص
2ib7as,اِبْحَص,ابحص
yib7as,يِبْحَص,يبحص
ybaa7is,يبَاحِص,يباحص
baa7as,بَاحَص,باحص
ba7as,بَحَص,بحص
mba77it,مْبَحِّط,مبحط
ba77it,بَحِّط,بحط
yba77it,يبَحِّط,يبحط
ba77at,بَحَّط,بحط
ba7laqa,بَحْلَقَة,بحلقة
ba7liq,بَحْلِق,بحلق
yba7liq,يبَحْلِق,يبحلق
ba7laq,بَحْلَق,بحلق
2imbakhbidj,مْبَخْبِج,مبخبج
bakhbakhe,بَخْبَخِة,بخبخة
bakhbikh,بَخْبِخ,بخبخ
ybakhbikh,يبَخْبِخ,يبخبخ
bakhbakh,بَخْبَخ,بخبخ
mbakhkhat,مْبَخَّت,مبخت
mibkhit,مِبْخِت,مبخت
bkheete,بْخَيتِة,بخيتة
bakht,بَخْت,بخت
bakhit,بَخِت,بخت
bkhuut,بْخُوت,بخوت
2abu 2ilibkhuut,أَبُو البْخُوت,أبو البخوت
zahrit 2ilbakhit,زَهْرِة البَخِت,زهرة البخت
bakhkhit,بَخِّت,بخت
ybakhkhit,يبَخِّت,يبخت
bakhkhat,بَخَّت,بخت
shal bakhto,شَلّ بَخْتُه,شل بخته
bakhtara,بَخْتَرَة,بخترة
tbakhtar,تْبَخْتَر,تبختر
yitbakhtar,يِتْبَخْتَر,يتبختر
tbakhtar,تْبَخْتَر,تبختر
bikhkh,بِخّ,بخ
bakhkha,بَخّة,بخة
bakhkhaakh,بَخَّاخ,بخاخ
2inbakhkh,اِنْبَخّ,انبخ
yinbakhkh,يِنْبَخّ,ينبخ
2inbakhkh,اِنْبَخّ,انبخ
bukhkh,بُخّ,بخ
ybukhkh,يبُخّ,يبخ
bakhkh,بَخّ,بخ
mabkhara,مَبْخَرَة,مبخرة
tabkhiira,تَبْخِيرَة,تبخيرة
bakhuur,بَخُور,بخور
bukhaar,بُخَار,بخار
bukhkhaar,بُخَّار,بخار
mabaakhir,مَبَاخِر,مباخر
bakhkhir,بَخِّر,بخر
bawaakhir,بَوَاخِر,بواخر
baakhira,بَاخِرَة,باخرة
tbakhkhar,تْبَخَّر,تبخر
ybakhkhir,يْبَخِّر,يبخر
tbakhkhar,يِتْبَخَّر,يتبخر
bakhkhar,بَخَّر,بخر
tbakhkhar,تْبَخَّر,تبخر
mbakhkhis,مْبَخِّس,مبخس
tabkhiis,تَبْخِيس,تبخيس
2itbakhkhas,اِتْبَخَّس,اتبخس
yitbakhkhas,يِتْبَخَّس,يتبخس
tbakhkhas,تْبَخَّس,تبخس
bakhkhis,بَخِّس,بخس
ybakhkhis,يبَخِّس,يبخس
bakhkhas,بَخَّس,بخس
mabkhuu3,مَبْخُوع,مبخوع
mabkhuu3,مَبْخُوع,مبخوع
2ibkha3,اِبْخَع,ابخع
2inibkhi3,اِنِبْخِع,انبخع
2inbikhi3,اِنْبِخِع,انبخع
yibkha3,يِبْخَع,يبخع
yinbikhi3,يِنْبِخِع,ينبخع
yinibkhi3,يِنِبْخِع,ينبخع
bakha3,بَخَع,بخع
2inbakha3,اِنْبَخَع,انبخع
bakhiil,بَخِيل,بخيل
bukhala,بُخُلَاء,بخلاء
bukhul,بُخُل,بخل
2ibkhal,اِبْخَل,ابخل
yibkhal,يِبْخَل,يبخل
bikhil,بِخِل,بخل
tbikhkhin,تْبِخِّن,تبخن
tbakhkhan,اِتْبَخَّن,اتبخن
yitbakhkhan,يتْبَخَّن,يتبخن
tbakhkhan,تْبَخَّن,تبخن
mbakhnis,مْبَخْنِس,مبخنس
bakhnis,بَخْنِس,بخنس
ybakhnis,يبَخْنِس,يبخنس
bakhnas,بَخْنَس,بخنس
mitbakhniq,مِتْبَخْنِق,متبخنق
2itbakhnaq,اِتْبَخْنَق,اتبخنق
yitbakhnaq,يِتْبَخْنَق,يتبخنق
tbakhnaq,تْبَخْنَق,تبخنق
baadi,بَادِي,بادي
2ibtidaa2i,اِبْتِدَائِي,ابتدائي
bidaaye,بِدَايِة,بداية
bad2,بَدْء,بدء
2ibda,اِبْدَا,ابدا
yibda,يِبْدَا,يبدا
bada,بَدَا,بدا
2ibda2,اِبْدَأ,ابدأ
yibda2,يِبْدَأ,يبدأ
bada2,بَدَأ,بدأ
2ibtidi,اِبْتِدِي,ابتدي
yibtidi,يِبْتِدِي,يبتدي
2ibtada,اِبْتَدَا,ابتدا
bidi2,بِدِء,بدء
bidaa2i,بِدَائِي,بدائي
biddo,بِدُّو,بدو
badduude,بَدُّودِة,بدودة
bidd,بِدّ,بد
baddaad,بَدَّاد,بداد
biduud,بِدُود,بدود
law ju7a baddaad kaan baddad biblaado,لو جُحَا بَدَّاد كَان بَدَّد ببلَادُهه,لو جحا بداد كان بدد ببلادهه
bidd,بِدّ,بد
biddi,بِدِّي,بدي
biddiish,بِدِّيش,بديش
mish wala bud,مِش ولَا بُدّ,مش ولا بد
budd,بُدّ,بد
min kull budd sabab,من كل بُد سبب,من كل بد سبب
laabudd,لَابُدّ,لابد
2istibdaad,اِسْتِبْدَاد,استبداد
baddid,بَدِّد,بدد
2ibaddad,اِتْبَدَّد,اتبدد
ybaddid,يبَدِّد,يبدد
yitbaddad,يِتْبَدَّد,يتبدد
baddad,بَدَّد,بدد
tbaddad,تْبَدَّد,تبدد
badri,بَدْرِي,بدري
mbaddir,مْبَدِّر,مبدر
badir,بَدِر,بدر
badir,بَدِر,بدر
bduura,بْدُورَة,بدورة
bduur,بْدُور,بدور
badir 2ilbuduur,بَدْر البدور,بدر البدور
badir 2ittamaam,بَدْر التَّمَام,بدر التمام
baddir,بَدِّر,بدر
ybaddir,يبَدِّر,يبدر
baddar,بَدَّر,بدر
mubdi3,مُبْدِع,مبدع
bid3a,بِدْعَة,بدعة
bida3,بِدْعَة,بدعة
3imil fii 2ilbuda3,عِمِل فِيه البُدَع,عمل فيه البدع
baddaa3a,بَدَّاعَة,بداعة
2ibdaa3,إِبْدَاع,إبداع
baddaa3,بَدَّاع,بداع
buda3,بُدَع,بدع
baddi3,بَدِّع,بدع
ybaddi3,يبَدِّع,يبدع
badda3,بَدَّع,بدع
2abda3,أَبْدَع,أبدع
yibdi3,يِبْدِع,يبدع
2ibdi3,اِبْدِع,ابدع
badle,بَدْلِة,بدلة
baddaale,بَدَّالِة,بدالة
badal,بَدَل,بدل
badiil,بَدِيل,بديل
tabdiil,تَبْدِيل,تبديل
badaayil,بَدَايِل,بدايل
budal,بُدَل,بدل
2itbaddal,اِتْبَدَّل,اتبدل
yitbaddal,يِتْبَدَّل,يتبدل
tbaddal,تْبَدَّل,تبدل
baddil,بَدِّل,بدل
baadil,بَادِل,بادل
ybaddil,يبَدِّل,يبدل
ybaadil,يْبَادِل,يبادل
baddal,بَدَّل,بدل
baadal,بَادَل,بادل
badani,بَدَنِي,بدني
badan,بَدَن,بدن
2abdaan,أَبْدَان,أبدان
2a3taa badan,أَعْطَاه بَدَن,أعطاه بدن
samm badani,سَمّ بَدَنِي,سم بدني
qash3ar badani,قَشْعَر بَدَنِي,قشعر بدني
nammal badani,نَمّل بَدَنِي,نمل بدني
hazz badani,هَزّ بَدَنِي,هز بدني
yunfud badanak,يُنْفُض بَدَنَك,ينفض بدنك
badu,بَدُو,بدو
bdawi,بَدَوِي,بدوي
tibdaaye,تِبْدَايِة,تبداية
baddi,بَدِّي,بدي
ybaddi,يبَدِّي,يبدي
badda,بَدَّى,بدى
tabziir,تَبْذِير,تبذير
mubazzir,مُبَذِّر,مبذر
bazra,بَذْرَة,بذرة
buzuur,بُذُور,بذور
bazrat kheer,بَذْرَة خَير,بذرة خير
bidhraawiyye,بِذْرَاوِيِّة,بذراوية
bazzir,بَذِّر,بذر
ybazzir,يبَذِّر,يبذر
bazzar,بَذَّر,بذر
baatinjaan,بَاذِنْجَان,باذنجان
baatinjaane,بَاذِنْجَانِة,باذنجانة
2itbarra2,اِتْبَرَّأ,اتبرأ
yitbarra2,يِتْبَرَّأ,يتبرأ
tbarra2,تْبَرَّأ,تبرأ
barri2,بَرِّئ,برئ
ybarri2,يبَرِّئ,يبرئ
barra2,بَرَّأ,برأ
tabrii2,تَبْرِيئ,تبريئ
baraa2a,بَرَاءَة,براءة
2abriyaa2,أَبْرِيَاء,أبرياء
barii2,بَرِيء,بريء
barbadje,بَرْبَجِة,بربجة
2itbarbadj,اِتْبَرْبَج,اتبربج
yitbarbadj,يِتْبَرْبَج,يتبربج
tbarbadj,تْبَرْبَج,تبربج
barba7a,بَرْبَحَة,بربحة
2itbarba7,اِتْبَرْبَح,اتبربح
yitbarba7,يِتْبَرْبَح,يتبربح
tbarba7,تْبَرْبَح,تبربح
barbuur,بَرْبُور,بربور
baraabiir,بَرَابِير,برابير
barbir,بَرْبِر,بربر
ybarbir,يبَرْبِر,يبربر
barbar,بَرْبَر,بربر
mbarbash,مْبَرْبَش,مبربش
barbuush,بَرْبُوش,بربوش
baraabiish,بَرَابِيش,برابيش
barbiish,بَرْبِيش,بربيش
baraabiish,بَرَابِيش,برابيش
barbish,بَرْبِش,بربش
ybarbish,يْبَرْبِش,يبربش
barbash,بَرْبَش,بربش
barbate,بَرْبَطَة,بربطة
2itbarbat,اِتْبَرْبَط,اتبربط
yitbarbat,يِتْبَرْبَط,يتبربط
tbarbat,تْبَرْبَط,تبربط
barbake,بَرْبَكِة,بربكة
2itbarbak,اِتْبَرْبَك,اتبربك
yitbarbak,يِتْبَرْبَك,يتبربك
tbarbak,تْبَرْبَك,تبربك
burtuqaali,بُرْتُقَالِي,برتقالي
burtuqaale,بُرْتُقَالِة,برتقالة
burtuqaal,بُرْتُقَال,برتقال
burut2gaani,بُرُتْقَانِي,برتقاني
burut2gaane,بُرُتْقَانِة,برتقانة
burutu2gaan,بُرُتْقَان,برتقان
barraaje,بَرَّاجِة,براجة
burj,بُرْج,برج
tabarruj,تَبَرُّج,تبرج
bardjaawi,بَرْجَاوِي,برجاوي
buruj,بُرُج,برج
2abraaj,أَبْرَاج,أبراج
2itbarraj,اِتْبَرَّج,اتبرج
yitbarraj,يِتْبَرَّج,يتبرج
titbarraj,تْبَرَّج,تبرج
bargiit,بَرْجِيت,برجيت
mbarjil,مْبَرْجِل,مبرجل
barjil,بَرْجِل,برجل
ybarjil,يبَرْجِل,يبرجل
barjal,بَرْجَل,برجل
barjame,بَرْجَمِة,برجمة
barjim,بَرْجِم,برجم
ybarjim,يبَرْجِم,يبرجم
barjam,بَرْجَم,برجم
2awlaad 2imbaari7,أَوْلَاد اِمبَارح,أولاد امبارح
baar7a,بَارْحَة,بارحة
2imbaari7,اِمْبَارِح,امبارح
bar7a,بَرْحَة,برحة
bira7,بِرَح,برح
3eeno baar7a,عينه بَارْحَة,عينه بارحة
baarikh,بَارِخ,بارخ
2ibrakh,اِبْرَخ,ابرخ
yibrakh,يِبْرَخ,يبرخ
barakh,بَرَخ,برخ
bardaan,بَرْدَان,بردان
baarid,بَارِد,بارد
mbarrad,مْبَرَّد,مبرد
barriide,بَرِّيد,بريد
burdaaye,بُرْدَايِة,برداية
baaruude,بَارُودِة,بارودة
bardiyye,بَرْدِيِّة,بردية
barrad,بَرَّاد,براد
buruud,بُرُود,برود
barid,بَرِد,برد
barid,بَرِد,برد
baraadi,بَرَادِي,برادي
bawaariid,بَوَارِيد,بواريد
wijho baarid,وجهُه بَاَرِد,وجهه بارد
bard bunkhur bil3azim,بَرْد بُنْخُر بَالعَظِم,برد بنخر بالعظم
3albaarid 2ilmistrii7,عَالبَارِد المِسْتِرِيح,عالبارد المستريح
barradin 3azaah,بَرَّدِن عزَاه,بردن عزاه
bard biquss 2ilmusmaar,برد بقص المسمَار,برد بقص المسمار
2ilmitghatti fiikbardaan,المتغطِّي فيك بَرْدَان,المتغطي فيك بردان
2ibrad,اِبْرَد,ابرد
boorid,بَورِد,بورد
2itbarrad,اِتْبَرَّد,اتبرد
barrid,بَرِّد,برد
yibrad,يِبْرَد,يبرد
yboorid,يبَورِد,يبورد
yitbarrad,يِتْبَرَّد,يتبرد
ybarrid,يبَرِّد,يبرد
birid,بِرِد,برد
boorad,بَورَد,بورد
